session_id:token	item_id_list:token_seq	item_id:token
499	45515	992
500	53613	4479
501	53735 631 45040	1416
502	38093 20468	8491
503	22670	29103
504	43541	11605
505	11474 5247	1692
506	19895 12442	19990
507	25507	16801
508	43297	26354
509	17054 31357 42885 26868	1304
510	27331	21902
511	45791 33339	31502
512	52862 31046 19740 2275 13246 53050 36195 42811	41461
513	46073	32441
514	40654 8113	12571
515	18390	10997
516	13261	31376
517	11135 28630 19463	15779
518	18566 18078 18498 49491 54229 55792 3194 1262 39332	44141
519	9331 50322	27777
520	43570 42409 7773 22026 17400	43273
521	20712	33856
522	3465	41456
523	42409 24653 37408	56249
524	37263 24673 47858 16504 29182	40736
525	33934 15378 16079	17450
526	33682 1156	6980
527	21579 3808 23216 20348	44608
528	19536	44888
529	13402 11552 32252 18489 17634 52910 35012	36571
530	41473	41523
531	637	16114
532	44445	29710
533	36185	51842
534	15342	40750
535	31911	51845
536	21370 56576 40941 29368 6007 775 40557 51785	51160
537	17283 26470 28469 48675	50474
538	17609 29441	11989
539	13899	321
540	8611	54207
541	48905 26033	33337
542	28983 44249 45758	25186
543	38446	42054
544	40459	33934
545	46277	51853
546	42082 24317 37357	9098
547	15531 29813	52712
548	24029 49474	45943
549	14352	33946
550	34016 43405	23112
551	30539	49249
552	49289	25752
553	15165 33388 30900 51539	24564
554	26211	259
555	8983 49040 15159	15717
556	16536	22361
557	14717	4130
558	41507	3051
559	7005	50530
560	42792 236 23542 47293 5522 28180 7983 11581	4451
561	12069	36425
562	23916 5521 642 23211 36031 38180	13867
563	45446	26099
564	7256	31911
565	13151 39465 31769	343
566	45397	51310
567	53781 31305	20631
568	1581	46087
569	11545	55088
570	51550	9802
571	10769 1664	55392
572	5103 4930 38753 39659 29781 40299 12376 47293	36405
573	7761	29663
574	17693	53959
575	3489 45750	42555
576	42688 16539 11835 13843 18197 37057 40468	45870
577	23562	12982
578	33524 35329 25385	52035
579	40633 39924	14151
580	35537	46642
581	5671	260
582	35541	32627
583	13398 7238	7914
584	22770	42709
585	23527	33327
586	46063 38840 24276 38397 32393 53983 45897	38161
587	33854	32747
588	43009	9320
589	12656	33193
590	28024 22266 39841 3540 13883 48882 18255	16858
591	43315	39169
592	28980	27034
593	25757 32470 3620 10997 34715 8722 41795 3942 41456 7434 15699	3793
594	795 7437	5597
595	25770	51510
596	48318 19363 631 35105 27617 7158 37099	26281
597	54385 44283	24386
598	50035 9225 56486 27927 34363	39436
599	52926	29810
600	45130 21870	7475
601	9905 45369 42520 5156	56057
602	26684	47202
603	48127	50705
604	6179 43561	25314
605	54229	9209
606	14194 50322 9957	6444
607	50957 37389	42909
608	54905 42452 6145 28572	25496
609	44901	35957
610	37967	25679
611	2217 55526	34917
612	38423 56287 23935	45214
613	9596 35850 29065 54376 7149	32738
614	1178 9839 5662 1708 14662 52743	47671
615	10964 17687 11781	32475
616	28643	31581
617	55356 50658 7490 49130	28787
618	53942	990
619	15583	6210
620	2137	56617
621	247 34644 20084	52499
622	47076	32787
623	7721	6664
624	55411 902 44078 35498 2217	5894
625	51070 38792 12119 11367 53098 49093 47464 56057	17105
626	13946	48835
627	16426	51640
628	15313 48872	39815
629	46219	16226
630	13595	31085
631	9248	19138
632	52938	6761
633	28500 9226	15717
634	40784	22037
635	30778	10874
636	3280 49961	17705
637	7126 34364 42399 34664	34771
638	26391 19344 45815 32906 35366 20175	35537
639	3299	37830
640	4467 18074 19559 2048 32531	53863
641	25820	2035
642	51516	27942
643	7973 41131 22660 4748 34884 33893	33985
644	41787	6713
645	4182 44415 38987	1067
646	37864	35878
647	46372 39455 41080 3899 36993 45973 45638 8815 40420	5491
648	11039 17293	10055
649	5597 21529	35383
650	28538 38840 46853	6247
651	566 10794 3091 49675 18801 55871 39496 9932 51556 1873 41008 52062 41621 41899 46796 1401 14499 28368 15067 21133 14875 49478 5979 9080 34066 34461 330 45109 23953 47828 12926 36675 49819 50749 37701 33218 30910 34825 7343 15251 40435	34664
652	30623 4415 16109 42565 20994 52378 29606 35276 26943 49724 2279 52910 13579 25865 48572 19477 47920 31624	23903
653	54415 28502 6283 20653 37991 42709	1993
654	9839	38145
655	32073 56666	56743
656	22007 38796 34699 29941 56088 13752 33752 49108 35651 1491 35334 40756 44281 54389 31774 43322	53050
657	23029 32450 54127 48223	35799
658	29981	7222
659	11835 20119	49338
660	20885	47921
661	10938 30333	43830
662	8570	14233
663	11974	15975
664	2482	50509
665	56183 28711	5038
666	45557 33846 45590 40492 22310 5268	48383
667	46744 19656	54231
668	10050 53089 34968 41414 49516 6145	43651
669	49975	30425
670	36120	54330
671	49570 27768 339 2031 56342	53933
672	801	7791
673	31709	31916
674	19177 36484 51448 53647 23028	32466
675	15699 51864	13091
676	43427	12960
677	51309 19030 25130	2995
678	14422	47879
679	49648	16559
680	2304	41329
681	48882	25806
682	53654 32549 21615 22641 41080	51191
683	32878 38880 17273	6862
684	6179 53857 20991 16227	25345
685	3486	47354
686	3484	39649
687	56441 47392 17195 42565 21451 39815 18734 33925 9061 41284 26106 54290 22712 21839 26081 46806 40707 12320	51436
688	46270	12904
689	26696 15170	12473
690	13299 45019	1746
691	12467	13525
692	53413 9143	56637
693	47036	48025
694	54731 21903 49464 7475 21243 31383 13136	50811
695	16683 13566 53874	17811
696	45724	19862
697	32806 2275 55411 49187 50675 13374 39649 15267 28489	8041
698	26305 3817	54601
699	38975	39787
700	11101 47463 17851	15717
701	26223	12947
702	36185 33929 48081 4378 28260 16682 20636	46354
703	39087 21745 4478 20772	37515
704	23627 45321	16461
705	53863	39885
706	43551 47374 44114 1488 32427 30833 49766 51398 55392	20085
707	1374 21973	45427
708	39989 39840 52272 20389 36490 42991 54952 51583	14234
709	8064	35793
710	45722 54946 1133	25124
711	6198	26328
712	10543 32300 21710	52611
713	21211 41456 6703	49141
714	10666 25737	35651
715	55274 4181 20119 4761 50657 17352 46123 16568	20038
716	23785 29231 32014	48039
717	48253 36864 44888 13395 924 10252	18149
718	26264	35145
719	55468 6951 19139	12812
720	34060 8186	16421
721	54352 29710	45048
722	44882 32187 55565 10652 12675	36241
723	53196	46834
724	15586	26115
725	26041 26345 7077 56090 12839	14093
726	27863	46142
727	8279 17907	36685
728	47099	17283
729	7164	35471
730	52509 22040 5216 11829	23073
731	40915 26727	29837
732	14321 22550 46167 38145	51283
733	21737 19740 45009 48382 53135 47101 50375 16685 50812 31662 33623 50163 2377 6476 19751 28808 27097 4296 45043 15241 4485 18818 35703 1807	42696
734	1788	2028
735	18825	34588
736	34234 44023 25345 18762 8541	10164
737	30200 54490	50296
738	52590	33773
739	47170 55585	35366
740	10075	40254
741	33505	19508
742	34249	1680
743	25583	32466
744	18811 44852 47821 53262 15935 1180 38096 54188	6667
745	34277 40990 2758 49664 47751 20351 39467 41080	44286
746	34902	10114
747	22388	6980
748	9290	55446
749	42031 37660 48527	42075
750	46955 32034 29160 41741 56867 25292 5671 27195 26509 30501 27714	17192
751	15269 47198	34063
752	50075	27484
753	11140	14477
754	15165 24662	10032
755	6551 15269	14605
756	51049 22480 6980 24014 20662 49609	35663
757	23313	26749
758	31414 26918 54914 42565 50949 53282 48775 53233 21981	54389
759	34045	49260
760	45751 53466	32531
761	9341	4351
762	11348	47341
763	18379	39117
764	16682 6179 25359 38585 13733	27536
765	18372	16918
766	3239 48348 15881 50851	15546
767	35344	39826
768	16037	11037
769	4790 46803 2835 3010	48019
770	49496 50106	55412
771	29941	21529
772	55415 51009 15654 31515	10780
773	40650 53972	23036
774	34029 15379	5264
775	13934	13472
776	46281 55321	55
777	52233 32412	37572
778	45943 20847 25581 46345	28288
779	50305	48118
780	23407 23177 38500 53686	52678
781	19851 51035	50974
782	48348 52709	6185
783	54102 8352 25044 14805	12132
784	49710 23309	5862
785	48024 9152 11233 31242	12980
786	5533 25171 44409 9279 33816	12331
787	8722 34637 26009 23816 52033	34806
788	9033	37955
789	24896	34728
790	42565	50628
791	32457 35651 40731 29887	25463
792	55689 4178	38863
793	45071	46639
794	18027	26618
795	5847	7088
796	44447	46910
797	9193 16108 30234	30955
798	47099	48783
799	26550	6056
800	29837 4473 45267	5501
801	33020 29027 14242 31615 37655 30915 43788 47094	29494
802	34699	46276
803	24498	16968
804	13595 861	53783
805	44484 9863 48598 25115 20341 7938 52152 25529	13234
806	35616 32726	10267
807	945	5744
808	9541	43200
809	6996 39852	29216
810	7726 45373 3600	16559
811	56633 4315	17232
812	12517 49312 45709	45849
813	55319	40511
814	12179 47202	41181
815	47888	29973
816	48781 1156 7634 38500 31147 31155 47761 23493 48127	50807
817	6082	10578
818	53233	38897
819	6528 36032	9678
820	51658	21956
821	8164 17799 19192 42361 53580	51815
822	28508 20856	41422
823	33082	53819
824	16510	29201
825	43628 34395 28323 3808 42565 51554 45214 35373 9363 54735 16861 4579 7256 34144 6384 32890 17120 15749 41680 31613 36774 28798	20084
826	53439	36594
827	52464 36536	28500
828	16783	2482
829	9412 18449	43136
830	7201 23864 35471 19666 12839 9902 37058 42814	8113
831	50922 5441 10248 27093	8184
832	19319 31709 5612 34423 36141 36683	23930
833	54039 12880 33079 42891 50470 28993 43936 36256	15440
834	25943 17860 1051 43158 24703 12886 11235 725	42332
835	18584	17152
836	9680	19893
837	31049 28500 13228 47099 23948	38145
838	19674	20493
839	53400	11673
840	10398 25854	28241
841	41750 36839	15717
842	647 10077 44565 348 36178 37421 13246 8041 42811 833 3803 45900 34119 41974 55559 8835 25490 39079 23948 27258 24831 23456 26998 3339	40976
843	41776	32935
844	36469 31909 4755 22937	45842
845	15531 50824 24024 30102 42494 6418	54229
846	23300	15577
847	36180	13261
848	30629 10935 54628 21461 1349 39656 2207 31788 12017	9737
849	5250 33562 26605 682 54419 11695 31833 56407 54885 36060 37 38614 39057 53508	5110
850	56946 50997 49369	137
851	11266	25778
852	37421 32403	39656
853	39773 22273 8591 18820 40005 1388	1534
854	1936	14475
855	41865 20546 11958 26317	40994
856	51442	19798
857	56771	37249
858	3536	49901
859	17786 17783	52624
860	33316 53972	23401
861	54967 38502	46123
862	52571	41456
863	50283 51594 39237 10167 35373 2048 45943 51583 20084 46095 4549 52624 19167	15966
864	2988	53037
865	50206 2002 33658 47970 10392 7778	49724
866	54127 18452 19820	53018
867	12282	19856
868	42891 22525 56077	6237
869	44882 23910 974	53997
870	51448	49267
871	52102 26634	53072
872	45943 25693 46878 24024 46290	26600
873	19432	29431
874	19600	3382
875	20552 38971 4799 7701	3092
876	42355	27139
877	8815 50961 21528	22007
878	21391	28073
879	35329 27702	36495
880	206 31782 42567	56030
881	15531	8289
882	10277	1738
883	37212	762
884	8924 40120 8323 25372 30765 40298 21063	17626
885	48880	30071
886	22033 45158 4543 12568 16379	5614
887	2389	46873
888	14465	42755
889	23783	28740
890	29187 35875	17131
891	53790 6353	7701
892	19606	418
893	36254 48156	49752
894	30460	41438
895	44545 4200 49377 1532	44772
896	10160	12015
897	8113 6947	14762
898	17389 16627	43728
899	47871	54882
900	20891	2959
901	54677 19874 13268	37217
902	55716	51124
903	24748 50974 10997 51763 2259 49127 39298 7692 23191 32853	55463
904	54739	9348
905	9586 15315	24266
906	52742	35934
907	43232	36153
908	22703	11123
909	31009 28740	32766
910	43752	41993
911	16716	30736
912	28529 40275	46929
913	29741	15442
914	29441 6895 9190 20371 21262 21406	52023
915	42891 8661	53050
916	43812 7880 13439	46912
917	55831 28449	8722
918	38353 15723 21129 50797	52547
919	1997	18004
920	18001 14762	30833
921	22938	8179
922	4149 6556	5247
923	24948 3549 9941	26485
924	27311	47844
925	12723 30249 11542 37670 29938 29941	55035
926	28117 54882 260 31613 17480 12455 13839 53290 50149 42409 5744 53972	17068
927	56119 48883	40935
928	22576	29478
929	54035	34435
930	34768 35254 52501 15983 11654 47819 12886	3071
931	7543 37105 39764	4973
932	39892 2618	24641
933	35491 17389	24817
934	15138 6757 41103 56476 27605 8926	30792
935	16056	17451
936	12473 154 55783 14467 37103 5310 21925 49839 24355 44860 8460 13246 48727 48918 3522 50306 27145 37670 19466 39817	18281
937	43607 53622 35330 6179 3620	25790
938	48162 52335	18721
939	31236 47717	34246
940	43084	51868
941	45681 41931 46184 18728 28775 9030	39956
942	1932 3254 21310 20641	2097
943	37132 13512 41687	43796
944	38543 246 4653	21711
945	34204	11820
946	8498 18304 56198 35995 50019 27311 16601 38350 5273 7536	27676
947	48064	40234
948	47722 2913 48620	26423
949	8642 28302	39503
950	38104 30274 5406	54726
951	10161	42284
952	32909 35255 35759 22974 3698 45667	19003
953	43895	16861
954	42723	7250
955	20908 42565 33961 32337 24476 35868	47998
956	32697 48604 47590 33762 27498 3207 17154 24024	34993
957	45447 4268	5486
958	47417 30555	39737
959	37122 38145 9264	13101
960	7923	27128
961	13259 5744	32531
962	49478	1360
963	16211	46898
964	49119 41113	21975
965	2475 52075	7377
966	44836	49942
967	18244 27900	6399
968	27140 7573	50032
969	17014 31956 17559 38602	5773
970	42885	48635
971	12282	38971
972	27133	29126
973	17203 135	12046
974	2089	48780
975	15873 6349 23346 13360	13247
976	6179 477	13316
977	31389	15222
978	31852 8576 36585 6982 17180 28034 15531 24991	45347
979	45116 40935 29351 26376	54829
980	45403 49992	25049
981	7151 50605 54914 55510 34897 544 49309	34
982	10300	17677
983	46689 1774 29723 53499 34345 35289	10313
984	20260 8815 48016 28238 50614 31824 15746 43154 46193 8019	19563
985	25433 46063 20782 16547 19277 10295 26426	45504
986	37429	31191
987	28925	20276
988	31261	28390
989	6163	21951
990	13579	54510
991	27154	33899
992	26120	53243
993	26982 5744	53972
994	31006	52672
995	18573 20534 21319 21529 46772 34146 33097	43486
996	54918	6416
997	41681 54582	39359
998	52425 51418 32137 33865 37087 7003	54204
999	51404 38068	40532
1000	47659	11134
1001	26916	53734
1002	43735	5363
1003	7087 35344	28577
1004	11655	6248
1005	32450 5887 42309 55938 37642 22679 13264 34986 47943 45870 39535 54562 16783 41411 49076 4856 15092 10988 47946 52523 14876 8257 30258 11829 991 13551 53229 46909 49462 25008 48976 29574 25729 28280 6696 32295 8258 47870 17396	3188
1006	11547	10753
1007	36673	18158
1008	15165 5706	54127
1009	34788 27651 15466	29450
1010	20643 36029 18337 41801 55067	45318
1011	55972	34456
1012	5037	12848
1013	53933	50192
1014	45010	34002
